name,location,address,day,startTime,startTime (24 hr),endTime (24hr),features,beverage,price,deal
The Globe,Soho,"Garley Bldg, 45-53A Graham Street, Central, Hong Kong ","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9:00AM,900,2000,,"Beer, Spirits, Wine",50,$28 for selected bottled beers. $38 for selected spirits and $45 for selected wines.
Carnegie's,Wan Chai,"53-55 Lockhart Road, Wanchai","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00AM,1100,2100,,"Spirits, Cocktails",50,"Up to 40% off standard drinks $20 Spirits + Mixer Mon 9pm - close $19 Stolichnaya Vodka + Mixer Tues 9pm - close FREE Champagne for Ladies Weds 9pm - close $15 JD Cola Thurs 9pm - close Friday - HALF PRICE Mojito's - Classic, Dirty, Hemmongway, Coconut & Melon 9pm - close Saturday's are THE BOMB! Half price for All Bombs - Jagerbomb, Haggisbomb, Irish Car bomb, Sake Bomb, Bolivian Bomb 9pm - close Sunday 2pm - 9pm FREE Champagne for ladies & OPEN MIC NIGHT."
Amazake,Lan Kwai Fong,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6:00PM,1700,,,,,"Buy 1 get 1 free for standard drinks, beer, wine and sake by glass"
Rude bar and lounge,Wyndham Street,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",3:00PM,1700,,,,,2 for 1 standard drinks
Supergiant @ Mira Moon,Causeway Bay,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",4:00PM,1700,,,,,Buy one get one free on tapas and standard drinks.
Mes Amis,Wan Chai,"83 Lockhart Rd, Wan Chai","Tuesday, Wednesday, Thursday, Sunday, Monday",12:00PM,1200,2100,2 for 1,Beer,,2 for 1 beers. Up to 20% off standard drinks. Ladies drink free every Wednesday after 10pm.
Frites @ Wanchai,Wan Chai," Shop 6, 1/F, Causeway Centre, 28 Harbour Road., Wan Chai, Hong Kong ","Monday, Tuesday, Wednesday, Thursday, Friday",3:00PM,1300,1900,2 for 1,"Beer, Wine, Spirits",,"Half price on selected draught beers, house wines and spirits."
Jem,Lan Kwai Fong,8 Wo On Ln Hong Kong,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1:00PM,1300,400,2 for 1,Beer,,"2 for 1 bottled beers. Different deals Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, please check with the servers for details."
The Roger Room,Soho,"G/F, 39 Peel Street, Central, Hong Kong ","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",3:00PM,1300,1900,,"Beer, Wine, Cocktails",50,"$50 for selected cocktails, beers and house wines."
Dicken's Bar @ The Excelsior,Causeway Bay,"B/F, The Excelsior, 281 Gloucester Road ","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",4:00PM,1400,2000,,,,Up to 30% off standard drinks
F.A.B,Soho,"G/F, 30 Hollywood Rd., Central, Hong Kong . ","Monday, Tuesday, Wednesday, Thursday, Friday",4:00PM,1400,1900,,"Wine, Champagne",50,$40 for selected house wine. Buy one get one free on G.H. Mumm champagne (per bottle).
Tequila Jacks,Tsim Sha Tsui,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",3:00PM,3,1900,,,,Discounted price on selected drinks. The deal extends to 12am on every Tuesday.
Ra Restaurant and Lounge,Tsim Sha Tsui,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",4:00PM,4,1900,,,,Buy one get one free on selected drinks. Shisha Available
Mes Amis @ TST,Tsim Sha Tsui,,"Tuesday, Wednesday, Thursday, Sunday, Monday",12:00P,1,1900,,,,Buy one get one free for draught beers and discounted prices on selected drinks.
Martini Bar @ The Royal Garden Hotel,Tsim Sha Tsui,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",4:00PM,4,1900,,,,Buy 1 get 1 free on house wines.
Hari's Bar @ The Holiday Inn,Tsim Sha Tsui,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5:00PM,5,1900,,,,Buy one get one free on selected drinks.
Eyebar,Tsim Sha Tsui,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6:00PM,6,1900,,,,30% off for Martini cocktails and selected wines. 50% off for selected beers.
